Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Onion,2018,Kharif     ,Karnataka,193156,1462077,1419.1,31329903.2,67604.6,8.4024
Onion,2018,Rabi       ,Karnataka,16788,222577,1419.1,2723013.6,5875.8,12.06083333
Onion,2018,Summer     ,Karnataka,3665,38682,1419.1,594463,1282.75,10.361
Other  Rabi pulses,2018,Rabi       ,Karnataka,13989,10005,1419.1,2269015.8,4896.15,0.696842105
Other Kharif pulses,2018,Kharif     ,Karnataka,28375,17511,1419.1,4602425,9931.25,0.641666667
Potato,2018,Kharif     ,Karnataka,21372,169235,1419.1,3466538.4,7480.2,8.165862069
Potato,2018,Rabi       ,Karnataka,6482,98231,1419.1,1051380.4,2268.7,14.73
Potato,2018,Summer     ,Karnataka,410,6626,1419.1,66502,143.5,16.26142857
Ragi,2018,Kharif     ,Karnataka,514756,618474,1419.1,83493423.2,180164.6,1.215357143
Ragi,2018,Rabi       ,Karnataka,36318,50426,1419.1,5890779.6,12711.3,1.386470588
Ragi,2018,Summer     ,Karnataka,4276,7667,1419.1,693567.2,1496.6,1.835333333
Rapeseed &Mustard,2018,Kharif     ,Karnataka,3172,628,1419.1,514498.4,1110.2,0.13
Rice,2018,Kharif     ,Karnataka,1037158,2949318,1419.1,168227027.6,363005.3,2.637
Rice,2018,Rabi       ,Karnataka,11442,28334,1419.1,1855892.4,4004.7,2.480833333
Rice,2018,Summer     ,Karnataka,150993,484330,1419.1,24491064.6,52847.55,2.9272
Safflower,2018,Rabi       ,Karnataka,17020,9973,1419.1,2760644,5957,0.588695652
Sannhamp,2018,Whole Year ,Karnataka,358,85,1419.1,58067.6,125.3,0.17
Sesamum,2018,Kharif     ,Karnataka,24776,15640,1419.1,4018667.2,8671.6,0.768571429
Small millets,2018,Kharif     ,Karnataka,19229,16105,1419.1,3118943.8,6730.15,0.852142857
Soyabean,2018,Kharif     ,Karnataka,261855,257221,1419.1,42472881,91649.25,1.0025
Sugarcane,2018,Whole Year ,Karnataka,495932,42323211,1419.1,80440170.4,173576.2,83.26862069
Sunflower,2018,Kharif     ,Karnataka,95442,81315,1419.1,15480692.4,33404.7,0.787692308
Sunflower,2018,Rabi       ,Karnataka,46439,24150,1419.1,7532405.8,16253.65,0.695
Sunflower,2018,Summer     ,Karnataka,2734,2422,1419.1,443454.8,956.9,1.086363636
Sweet potato,2018,Whole Year ,Karnataka,5032,73050,1419.1,816190.4,1761.2,14.20703704
Tapioca,2018,Whole Year ,Karnataka,635,8439,1419.1,102997,222.25,13.2452381
Tobacco,2018,Whole Year ,Karnataka,63840,52442,1419.1,10354848,22344,0.853076923
Turmeric,2018,Whole Year ,Karnataka,26579,153767,1419.1,4311113.8,9302.65,5.617142857
Urad,2018,Kharif     ,Karnataka,85094,41029,1419.1,13802246.8,29782.9,0.429285714
Urad,2018,Rabi       ,Karnataka,2787,1484,1419.1,452051.4,975.45,0.47125
Urad,2018,Summer     ,Karnataka,1014,521,1419.1,164470.8,354.9,0.514285714
Wheat,2018,Rabi       ,Karnataka,157525,163113,1419.1,25550555,55133.75,0.960740741
Arecanut,2018,Whole Year ,Kerala,95739.29,99925,2989.7,15528912.84,33508.7515,0.795714286
Arhar/Tur,2018,Whole Year ,Kerala,266,438,2989.7,43145.2,93.1,1.65
Banana,2018,Whole Year ,Kerala,52898.61,429061,2989.7,8580154.542,18514.5135,7.930714286
Black pepper,2018,Whole Year ,Kerala,82761.41,36777,2989.7,13423900.7,28966.4935,0.328571429
Cardamom,2018,Whole Year ,Kerala,38882,11535,2989.7,6306660.4,13608.7,0.068571429
Cashewnut,2018,Whole Year ,Kerala,38780.66,15635,2989.7,6290223.052,13573.231,0.276428571
Coconut ,2018,Whole Year ,Kerala,760946.81,5299000000,2989.7,123425572.6,266331.3835,6426.82
Cotton(lint),2018,Whole Year ,Kerala,59.4,90,2989.7,9634.68,20.79,1.51
Garlic,2018,Whole Year ,Kerala,69.61,345,2989.7,11290.742,24.3635,4.96
Ginger,2018,Whole Year ,Kerala,3275.09,15124,2989.7,531219.598,1146.2815,3.463571429
Gram,2018,Whole Year ,Kerala,690.86,546,2989.7,112057.492,241.801,0.70375
Groundnut,2018,Whole Year ,Kerala,187.3,239,2989.7,30380.06,65.555,1.28
Jowar,2018,Whole Year ,Kerala,205,168,2989.7,33251,71.75,0.82
Maize,2018,Whole Year ,Kerala,104.326,145,2989.7,16921.6772,36.5141,4.508
Onion,2018,Whole Year ,Kerala,5.21,0,2989.7,845.062,1.8235,0
Other Kharif pulses,2018,Kharif     ,Kerala,1532.826,1316,2989.7,248624.3772,536.4891,1.076
Potato,2018,Whole Year ,Kerala,536.9,7381,2989.7,87085.18,187.915,13.75
Ragi,2018,Whole Year ,Kerala,224.7,272,2989.7,36446.34,78.645,1.355
Rice,2018,Autumn     ,Kerala,60718.46,101943,2989.7,9848534.212,21251.461,1.565384615
Rice,2018,Summer     ,Kerala,48858.28,196784,2989.7,7924813.016,17100.398,3.09
Rice,2018,Winter     ,Kerala,88449.47,279529,2989.7,14346504.03,30957.3145,2.684285714
Sesamum,2018,Whole Year ,Kerala,377.657,157,2989.7,61255.9654,132.17995,0.481666667
Small millets,2018,Whole Year ,Kerala,47.5,35,2989.7,7704.5,16.625,0.73
Sugarcane,2018,Whole Year ,Kerala,1011.88,106299,2989.7,164126.936,354.158,81.14875
Sweet potato,2018,Whole Year ,Kerala,210.41,3059,2989.7,34128.502,73.6435,13.17714286
Tapioca,2018,Whole Year ,Kerala,61874.16,2325006,2989.7,10035988.75,21655.956,36.30214286
Tobacco,2018,Whole Year ,Kerala,7.28,12,2989.7,1180.816,2.548,1.6
Turmeric,2018,Whole Year ,Kerala,2483.71,6694,2989.7,402857.762,869.2985,2.630714286
Wheat,2018,Whole Year ,Kerala,1.4,2,2989.7,227.08,0.49,1.45
Arecanut,2018,Whole Year ,Tamil Nadu,6952,13543,986.2,1127614.4,2433.2,2.0112
Arhar/Tur,2018,Kharif     ,Tamil Nadu,41381,51632,986.2,6711998.2,14483.35,1.188571429
Bajra,2018,Kharif     ,Tamil Nadu,31109,88494,986.2,5045879.8,10888.15,2.8308
Bajra,2018,Rabi       ,Tamil Nadu,15773,29516,986.2,2558380.6,5520.55,2.042692308
Banana,2018,Whole Year ,Tamil Nadu,87514,3483248,986.2,14194770.8,30629.9,37.39125
Black pepper,2018,Whole Year ,Tamil Nadu,5571,1176,986.2,903616.2,1949.85,0.16
Cardamom,2018,Whole Year ,Tamil Nadu,3838,347,986.2,622523.6,1343.3,0.08
Cashewnut,2018,Whole Year ,Tamil Nadu,85272,19701,986.2,13831118.4,29845.2,0.242
Castor seed,2018,Kharif     ,Tamil Nadu,4756,1526,986.2,771423.2,1664.6,0.333636364
Coconut ,2018,Whole Year ,Tamil Nadu,439745,5214000000,986.2,71326639,153910.75,11263.83
Coriander,2018,Whole Year ,Tamil Nadu,6427,2526,986.2,1042459.4,2249.45,0.428695652
Cotton(lint),2018,Kharif     ,Tamil Nadu,70023,151758,986.2,11357730.6,24508.05,2.13
Cotton(lint),2018,Rabi       ,Tamil Nadu,64899,168541,986.2,10526617.8,22714.65,2.738076923
Cowpea(Lobia),2018,Kharif     ,Tamil Nadu,44897,35418,986.2,7282293.4,15713.95,0.806
Cowpea(Lobia),2018,Rabi       ,Tamil Nadu,19985,17010,986.2,3241567,6994.75,0.8475
Dry chillies,2018,Whole Year ,Tamil Nadu,45949,14000,986.2,7452927.8,16082.15,0.517741935
Garlic,2018,Whole Year ,Tamil Nadu,1449,8631,986.2,235027.8,507.15,4.375
Ginger,2018,Whole Year ,Tamil Nadu,377,7263,986.2,61149.4,131.95,19.86428571
Gram,2018,Rabi       ,Tamil Nadu,5851,5419,986.2,949032.2,2047.85,0.945
Groundnut,2018,Kharif     ,Tamil Nadu,196543,426219,986.2,31879274.6,68790.05,2.235714286
Groundnut,2018,Rabi       ,Tamil Nadu,138952,485021,986.2,22538014.4,48633.2,3.243333333
Horse-gram,2018,Kharif     ,Tamil Nadu,4045,2883,986.2,656099,1415.75,0.685
Horse-gram,2018,Rabi       ,Tamil Nadu,73408,50647,986.2,11906777.6,25692.8,0.715652174
Jowar,2018,Kharif     ,Tamil Nadu,182554,209775,986.2,29610258.8,63893.9,1.5472
Jowar,2018,Rabi       ,Tamil Nadu,203288,254701,986.2,32973313.6,71150.8,1.4448
Maize,2018,Kharif     ,Tamil Nadu,168944,1283603,986.2,27402716.8,59130.4,7.625384615
Maize,2018,Rabi       ,Tamil Nadu,221658,1550834,986.2,35952927.6,77580.3,6.984
Moong(Green Gram),2018,Kharif     ,Tamil Nadu,26977,18186,986.2,4375669.4,9441.95,0.6508
Moong(Green Gram),2018,Rabi       ,Tamil Nadu,143341,58676,986.2,23249910.2,50169.35,0.402857143
Onion,2018,Kharif     ,Tamil Nadu,12414,108888,986.2,2013550.8,4344.9,8.912692308
Onion,2018,Rabi       ,Tamil Nadu,19273,109707,986.2,3126080.6,6745.55,5.878518519
Other  Rabi pulses,2018,Rabi       ,Tamil Nadu,20761,16051,986.2,3367434.2,7266.35,0.7015
Other Cereals,2018,Kharif     ,Tamil Nadu,1685,2286,986.2,273307,589.75,1.262941176
Other Cereals,2018,Rabi       ,Tamil Nadu,4262,10045,986.2,691296.4,1491.7,2.21
Other Kharif pulses,2018,Kharif     ,Tamil Nadu,28942,20808,986.2,4694392.4,10129.7,0.68952381
Potato,2018,Kharif     ,Tamil Nadu,2334,25622,986.2,378574.8,816.9,13.195
Potato,2018,Rabi       ,Tamil Nadu,1198,23750,986.2,194315.6,419.3,23.2225
Ragi,2018,Kharif     ,Tamil Nadu,56917,178988,986.2,9231937.4,19920.95,3.1396
Ragi,2018,Rabi       ,Tamil Nadu,21676,76983,986.2,3515847.2,7586.6,3.486153846
Rapeseed &Mustard,2018,Rabi       ,Tamil Nadu,305,71,986.2,49471,106.75,0.08
Rice,2018,Autumn     ,Tamil Nadu,279647,1198496,986.2,45358743.4,97876.45,4.184827586
Rice,2018,Summer     ,Tamil Nadu,236904,992095,986.2,38425828.8,82916.4,3.997333333
Rice,2018,Winter     ,Tamil Nadu,1204714,3940959,986.2,195404610.8,421649.9,3.749032258
Sesamum,2018,Kharif     ,Tamil Nadu,9457,4494,986.2,1533925.4,3309.95,0.472
Sesamum,2018,Rabi       ,Tamil Nadu,35153,19932,986.2,5701816.6,12303.55,0.516551724
Small millets,2018,Kharif     ,Tamil Nadu,15961,26420,986.2,2588874.2,5586.35,1.340555556
Small millets,2018,Rabi       ,Tamil Nadu,344,511,986.2,55796.8,120.4,1.577692308
Sugarcane,2018,Whole Year ,Tamil Nadu,166415,17096330,986.2,26992513,58245.25,99.34166667
Sunflower,2018,Kharif     ,Tamil Nadu,486,843,986.2,78829.2,170.1,1.78
Sunflower,2018,Rabi       ,Tamil Nadu,4556,2630,986.2,738983.2,1594.6,0.556470588
Sweet potato,2018,Whole Year ,Tamil Nadu,328,8848,986.2,53201.6,114.8,25.31238095
Tapioca,2018,Whole Year ,Tamil Nadu,75644,2629655,986.2,12269456.8,26475.4,34.88068966
Tobacco,2018,Whole Year ,Tamil Nadu,2111,3238,986.2,342404.2,738.85,1.354545455
Turmeric,2018,Whole Year ,Tamil Nadu,23351,92360,986.2,3787532.2,8172.85,3.892857143
Urad,2018,Kharif     ,Tamil Nadu,44495,33810,986.2,7217089,15573.25,0.777
Urad,2018,Rabi       ,Tamil Nadu,396479,240497,986.2,64308893.8,138767.65,0.607
Arecanut,2019,Kharif     ,Andhra Pradesh,1096,10418,899.2,188248.96,405.52,7.253333333
Arhar/Tur,2019,Kharif     ,Andhra Pradesh,237647,114451,899.2,40818248.72,87929.39,0.44
Arhar/Tur,2019,Rabi       ,Andhra Pradesh,5940,3747,899.2,1020254.4,2197.8,0.43
Bajra,2019,Kharif     ,Andhra Pradesh,20484,47045,899.2,3518331.84,7579.08,2.004545455
Bajra,2019,Rabi       ,Andhra Pradesh,4592,11322,899.2,788721.92,1699.04,2.48
Banana,2019,Whole Year ,Andhra Pradesh,97695,5861700,899.2,16780093.2,36147.15,60
Black pepper,2019,Whole Year ,Andhra Pradesh,17645,17645,899.2,3030705.2,6528.65,1
Cashewnut,2019,Kharif     ,Andhra Pradesh,115785,115785,899.2,19887231.6,42840.45,1
Castor seed,2019,Kharif     ,Andhra Pradesh,36827,25270,899.2,6325405.52,13625.99,0.7625
Castor seed,2019,Rabi       ,Andhra Pradesh,1056,637,899.2,181378.56,390.72,0.684
Coconut ,2019,Whole Year ,Andhra Pradesh,104027,1912224000,899.2,17867677.52,38489.99,16935.05846
Coriander,2019,Rabi       ,Andhra Pradesh,1119,553,899.2,192199.44,414.03,0.50375
Cotton(lint),2019,Kharif     ,Andhra Pradesh,653953,424486,899.2,112322967.3,241962.61,0.543846154
Cotton(lint),2019,Rabi       ,Andhra Pradesh,3474,11066,899.2,596694.24,1285.38,3.305
Cowpea(Lobia),2019,Kharif     ,Andhra Pradesh,5816,2612,899.2,998956.16,2151.92,0.503333333
Cowpea(Lobia),2019,Rabi       ,Andhra Pradesh,6792,3532,899.2,1166593.92,2513.04,0.630909091
Dry chillies,2019,Kharif     ,Andhra Pradesh,136183,725388,899.2,23390792.08,50387.71,4.526666667
Dry chillies,2019,Rabi       ,Andhra Pradesh,16899,79638,899.2,2902572.24,6252.63,4.034615385
Ginger,2019,Kharif     ,Andhra Pradesh,294,633,899.2,50497.44,108.78,1.922
Gram,2019,Rabi       ,Andhra Pradesh,458579,558745,899.2,78765529.04,169674.23,1.443636364
Groundnut,2019,Kharif     ,Andhra Pradesh,567875,621906,899.2,97538210,210113.75,2.255384615
Groundnut,2019,Rabi       ,Andhra Pradesh,93389,227739,899.2,16040494.64,34553.93,2.812307692
Guar seed,2019,Kharif     ,Andhra Pradesh,1,0,899.2,171.76,0.37,0
Guar seed,2019,Rabi       ,Andhra Pradesh,6,0,899.2,1030.56,2.22,0
Horse-gram,2019,Kharif     ,Andhra Pradesh,83567,39442,899.2,14353467.92,30919.79,0.251666667
Horse-gram,2019,Rabi       ,Andhra Pradesh,29995,16670,899.2,5151941.2,11098.15,0.606923077
Jowar,2019,Kharif     ,Andhra Pradesh,36981,38880,899.2,6351856.56,13682.97,1.149
Jowar,2019,Rabi       ,Andhra Pradesh,117962,350076,899.2,20261153.12,43645.94,2.358
Linseed,2019,Kharif     ,Andhra Pradesh,133,0,899.2,22844.08,49.21,0
Maize,2019,Kharif     ,Andhra Pradesh,95591,450932,899.2,16418710.16,35368.67,4.653076923
Maize,2019,Rabi       ,Andhra Pradesh,205100,1670288,899.2,35227976,75887,6.698461538
Mesta,2019,Kharif     ,Andhra Pradesh,1714,18265,899.2,294396.64,634.18,10.135
Moong(Green Gram),2019,Kharif     ,Andhra Pradesh,13444,5138,899.2,2309141.44,4974.28,0.625384615
Moong(Green Gram),2019,Rabi       ,Andhra Pradesh,93535,81072,899.2,16065571.6,34607.95,0.885384615
Niger seed,2019,Rabi       ,Andhra Pradesh,4256,1409,899.2,731010.56,1574.72,0.33
Oilseeds total,2019,Kharif     ,Andhra Pradesh,712037,2914652,899.2,122299475.1,263453.69,8.527692308
Oilseeds total,2019,Rabi       ,Andhra Pradesh,141100,250093,899.2,24235336,52207,1.720769231
Onion,2019,Kharif     ,Andhra Pradesh,23864,524198,899.2,4098880.64,8829.68,22.22444444
Onion,2019,Rabi       ,Andhra Pradesh,12250,256890,899.2,2104060,4532.5,21.7675
Other  Rabi pulses,2019,Rabi       ,Andhra Pradesh,10770,11296,899.2,1849855.2,3984.9,1.23
Other Kharif pulses,2019,Kharif     ,Andhra Pradesh,1715,850,899.2,294568.4,634.55,0.656666667
Potato,2019,Kharif     ,Andhra Pradesh,453,6648,899.2,77807.28,167.61,12.21
Potato,2019,Rabi       ,Andhra Pradesh,1050,15919,899.2,180348,388.5,13.155
Ragi,2019,Kharif     ,Andhra Pradesh,25660,31913,899.2,4407361.6,9494.2,1.315
Ragi,2019,Rabi       ,Andhra Pradesh,7893,12385,899.2,1355701.68,2920.41,1.588888889
Rapeseed &Mustard,2019,Rabi       ,Andhra Pradesh,1882,912,899.2,323252.32,696.34,0.375
Rice,2019,Kharif     ,Andhra Pradesh,1526425,5342033,899.2,262178758,564777.25,3.517692308
Rice,2019,Rabi       ,Andhra Pradesh,829557,3798058,899.2,142484710.3,306936.09,3.873076923
Safflower,2019,Rabi       ,Andhra Pradesh,710,348,899.2,121949.6,262.7,0.475
Sannhamp,2019,Kharif     ,Andhra Pradesh,3365,0,899.2,577972.4,1245.05,0
Sannhamp,2019,Rabi       ,Andhra Pradesh,1133,0,899.2,194604.08,419.21,0
Sesamum,2019,Kharif     ,Andhra Pradesh,6197,1316,899.2,1064396.72,2292.89,0.286
Sesamum,2019,Rabi       ,Andhra Pradesh,32989,12129,899.2,5666190.64,12205.93,0.333076923
Small millets,2019,Kharif     ,Andhra Pradesh,19344,18085,899.2,3322525.44,7157.28,0.758333333
Small millets,2019,Rabi       ,Andhra Pradesh,3966,3990,899.2,681200.16,1467.42,0.921428571
Soyabean,2019,Kharif     ,Andhra Pradesh,1354,2367,899.2,232563.04,500.98,1.13
Soyabean,2019,Rabi       ,Andhra Pradesh,24,42,899.2,4122.24,8.88,1.39
Sugarcane,2019,Kharif     ,Andhra Pradesh,85911,6714729,899.2,14756073.36,31787.07,83.44538462
Sunflower,2019,Kharif     ,Andhra Pradesh,1869,1306,899.2,321019.44,691.53,1.23
Sunflower,2019,Rabi       ,Andhra Pradesh,6794,6877,899.2,1166937.44,2513.78,0.967692308
Sweet potato,2019,Kharif     ,Andhra Pradesh,54,895,899.2,9275.04,19.98,18.038
Sweet potato,2019,Rabi       ,Andhra Pradesh,360,6271,899.2,61833.6,133.2,16.747
Tapioca,2019,Kharif     ,Andhra Pradesh,6986,84845,899.2,1199915.36,2584.82,13.61166667
Tapioca,2019,Rabi       ,Andhra Pradesh,54,512,899.2,9275.04,19.98,14.415
Tobacco,2019,Kharif     ,Andhra Pradesh,36504,375719,899.2,6269927.04,13506.48,8.732352941
Tobacco,2019,Rabi       ,Andhra Pradesh,78051,165535,899.2,13406039.76,28878.87,2.428181818
Urad,2019,Kharif     ,Andhra Pradesh,15242,14254,899.2,2617965.92,5639.54,0.834615385
Urad,2019,Rabi       ,Andhra Pradesh,287929,315055,899.2,49454685.04,106533.73,0.944615385
Wheat,2019,Rabi       ,Andhra Pradesh,37,11,899.2,6355.12,13.69,0.155
other oilseeds,2019,Kharif     ,Andhra Pradesh,97782,2262487,899.2,16795036.32,36179.34,16.12818182
Arecanut,2019,Kharif     ,Puducherry,52,78,1317,8931.52,19.24,1.5
Bajra,2019,Kharif     ,Puducherry,14,36,1317,2404.64,5.18,2.57
Bajra,2019,Rabi       ,Puducherry,1,3,1317,171.76,0.37,3
Bajra,2019,Summer     ,Puducherry,7,18,1317,1202.32,2.59,2.57
Banana,2019,Kharif     ,Puducherry,273,16637,1317,46890.48,101.01,32.76666667
Black pepper,2019,Kharif     ,Puducherry,11,15,1317,1889.36,4.07,1.36
Cashewnut,2019,Kharif     ,Puducherry,145,65,1317,24905.2,53.65,0.426666667
Coconut ,2019,Whole Year ,Puducherry,1857,18661000,1317,318958.32,687.09,9474.625
Cotton(lint),2019,Kharif     ,Puducherry,500,1248,1317,85880,185,2.745
Dry chillies,2019,Kharif     ,Puducherry,2,26,1317,343.52,0.74,13
Dry chillies,2019,Rabi       ,Puducherry,3,41,1317,515.28,1.11,13.67
Dry chillies,2019,Summer     ,Puducherry,2,26,1317,343.52,0.74,13
Groundnut,2019,Kharif     ,Puducherry,1,3,1317,171.76,0.37,3
Groundnut,2019,Rabi       ,Puducherry,231,693,1317,39676.56,85.47,3
Groundnut,2019,Summer     ,Puducherry,21,63,1317,3606.96,7.77,3
Moong(Green Gram),2019,Rabi       ,Puducherry,12,9,1317,2061.12,4.44,0.75
Moong(Green Gram),2019,Summer     ,Puducherry,629,156,1317,108037.04,232.73,0.606666667
Onion,2019,Kharif     ,Puducherry,2,10,1317,343.52,0.74,5
Onion,2019,Summer     ,Puducherry,1,5,1317,171.76,0.37,5
Other  Rabi pulses,2019,Rabi       ,Puducherry,53,42,1317,9103.28,19.61,0.79
Other Kharif pulses,2019,Kharif     ,Puducherry,5,4,1317,858.8,1.85,0.8
Other Summer Pulses,2019,Summer     ,Puducherry,21,17,1317,3606.96,7.77,0.81
Ragi,2019,Kharif     ,Puducherry,32,77,1317,5496.32,11.84,2.41
Ragi,2019,Rabi       ,Puducherry,4,10,1317,687.04,1.48,2.5
Ragi,2019,Summer     ,Puducherry,23,55,1317,3950.48,8.51,2.39
Rice,2019,Kharif     ,Puducherry,4323,15171,1317,742518.48,1599.51,3.216666667
Rice,2019,Rabi       ,Puducherry,9397,28114,1317,1614028.72,3476.89,3.883333333
Rice,2019,Summer     ,Puducherry,4518,16060,1317,776011.68,1671.66,3.55
Sesamum,2019,Kharif     ,Puducherry,2,2,1317,343.52,0.74,1
Sesamum,2019,Rabi       ,Puducherry,10,10,1317,1717.6,3.7,1
Sesamum,2019,Summer     ,Puducherry,203,152,1317,34867.28,75.11,0.57
Small millets,2019,Kharif     ,Puducherry,14,17,1317,2404.64,5.18,1.21
Sugarcane,2019,Kharif     ,Puducherry,1308,183120,1317,224662.08,483.96,140
Sweet potato,2019,Kharif     ,Puducherry,5,45,1317,858.8,1.85,9
Sweet potato,2019,Rabi       ,Puducherry,1,9,1317,171.76,0.37,9
Tapioca,2019,Kharif     ,Puducherry,170,4218,1317,29199.2,62.9,29.75
Tapioca,2019,Rabi       ,Puducherry,8,196,1317,1374.08,2.96,24.5
Turmeric,2019,Kharif     ,Puducherry,11,165,1317,1889.36,4.07,15
Urad,2019,Kharif     ,Puducherry,2,2,1317,343.52,0.74,1
Urad,2019,Rabi       ,Puducherry,146,146,1317,25076.96,54.02,1
Urad,2019,Summer     ,Puducherry,321,139,1317,55134.96,118.77,0.723333333
Arecanut,2019,Rabi       ,Assam,67223,52124,2084.7,11546222.48,24872.51,0.758181818
Arhar/Tur,2019,Kharif     ,Assam,5830,5040,2084.7,1001360.8,2157.1,0.865925926
Banana,2019,Whole Year ,Assam,49445,906683,2084.7,8492673.2,18294.65,18.07555556
Black pepper,2019,Whole Year ,Assam,3410,7664,2084.7,585701.6,1261.7,2.28962963
Castor seed,2019,Kharif     ,Assam,748,345,2084.7,128476.48,276.76,0.632272727
Coconut ,2019,Whole Year ,Assam,20800,148629000,2084.7,3572608,7696,7582.287813
Cotton(lint),2019,Kharif     ,Assam,789,417,2084.7,135518.64,291.93,0.674444444
Dry chillies,2019,Whole Year ,Assam,19835,19413,2084.7,3406859.6,7338.95,0.918888889
Ginger,2019,Whole Year ,Assam,17786,167803,2084.7,3054923.36,6580.82,9.395185185
Gram,2019,Rabi       ,Assam,2176,1523,2084.7,373749.76,805.12,0.648
Jute,2019,Kharif     ,Assam,64247,791512,2084.7,11035064.72,23771.39,11.66851852
Linseed,2019,Rabi       ,Assam,4885,3039,2084.7,839047.6,1807.45,0.588695652
Maize,2019,Kharif     ,Assam,36636,128036,2084.7,6292599.36,13555.32,3.155555556
Masoor,2019,Rabi       ,Assam,24122,18434,2084.7,4143194.72,8925.14,0.732962963
Mesta,2019,Kharif     ,Assam,3221,20010,2084.7,553238.96,1191.77,6.1756
Moong(Green Gram),2019,Rabi       ,Assam,10837,8163,2084.7,1861363.12,4009.69,0.705185185
Niger seed,2019,Kharif     ,Assam,5715,3195,2084.7,981608.4,2114.55,0.545416667
Onion,2019,Whole Year ,Assam,8155,88892,2084.7,1400702.8,3017.35,8.022962963
Other  Rabi pulses,2019,Rabi       ,Assam,15006,12467,2084.7,2577430.56,5552.22,0.695185185
Peas & beans (Pulses),2019,Rabi       ,Assam,27891,26081,2084.7,4790558.16,10319.67,1.035185185
Potato,2019,Whole Year ,Assam,104750,756222,2084.7,17991860,38757.5,7.303703704
Rapeseed &Mustard,2019,Rabi       ,Assam,287447,177226,2084.7,49371896.72,106355.39,0.583703704
Rice,2019,Autumn     ,Assam,127223,193215,2084.7,21851822.48,47072.51,1.464814815
Rice,2019,Summer     ,Assam,395518,1025571,2084.7,67934171.68,146341.66,2.492307692
Rice,2019,Winter     ,Assam,1878208,3996018,2084.7,322601006.1,694936.96,2.137037037
Sesamum,2019,Kharif     ,Assam,12027,8534,2084.7,2065757.52,4449.99,0.661481481
Small millets,2019,Kharif     ,Assam,5212,3226,2084.7,895213.12,1928.44,0.5792
Sugarcane,2019,Whole Year ,Assam,29703,1218118,2084.7,5101787.28,10990.11,38.92111111
Sweet potato,2019,Whole Year ,Assam,4926,25640,2084.7,846089.76,1822.62,5.578518519
Tapioca,2019,Whole Year ,Assam,3289,31794,2084.7,564918.64,1216.93,8.9104
Tobacco,2019,Whole Year ,Assam,114,62,2084.7,19580.64,42.18,0.590909091
Turmeric,2019,Whole Year ,Assam,16359,20885,2084.7,2809821.84,6052.83,1.284074074
Urad,2019,Rabi       ,Assam,58100,34757,2084.7,9979256,21497,0.618888889
Wheat,2019,Rabi       ,Assam,11336,14430,2084.7,1947071.36,4194.32,1.272083333
Arecanut,2019,Rabi       ,Meghalaya,18231,24032,3844.4,3131356.56,6745.47,1.296363636
Arhar/Tur,2019,Kharif     ,Meghalaya,1186,1540,3844.4,203707.36,438.82,1.122
Banana,2019,Kharif     ,Meghalaya,7284,94870,3844.4,1251099.84,2695.08,10.73090909
Black pepper,2019,Rabi       ,Meghalaya,1046,791,3844.4,179660.96,387.02,0.764545455
Cashewnut,2019,Rabi       ,Meghalaya,10471,14846,3844.4,1798498.96,3874.27,1.402
Castor seed,2019,Rabi       ,Meghalaya,72,65,3844.4,12366.72,26.64,1.004
Coriander,2019,Whole Year ,Meghalaya,490,1925,3844.4,84162.4,181.3,3.742
Cotton(lint),2019,Kharif     ,Meghalaya,7245,8697,3844.4,1244401.2,2680.65,1.158
Cowpea(Lobia),2019,Rabi       ,Meghalaya,1681,2549,3844.4,288728.56,621.97,1.633636364
Dry chillies,2019,Whole Year ,Meghalaya,2334,2367,3844.4,400887.84,863.58,1.224545455
Ginger,2019,Kharif     ,Meghalaya,9963,66379,3844.4,1711244.88,3686.31,9.668181818
Gram,2019,Rabi       ,Meghalaya,1869,2004,3844.4,321019.44,691.53,1.082
Jute,2019,Kharif     ,Meghalaya,6680,68562,3844.4,1147356.8,2471.6,9.946
Linseed,2019,Rabi       ,Meghalaya,95,57,3844.4,16317.2,35.15,0.61
Maize,2019,Kharif     ,Meghalaya,18174,41760,3844.4,3121566.24,6724.38,2.254545455
Masoor,2019,Rabi       ,Meghalaya,1260,1400,3844.4,216417.6,466.2,1.322857143
Mesta,2019,Kharif     ,Meghalaya,4480,26455,3844.4,769484.8,1657.6,6.312
Onion,2019,Rabi       ,Meghalaya,561,5037,3844.4,96357.36,207.57,8.431
Peas & beans (Pulses),2019,Rabi       ,Meghalaya,2340,4541,3844.4,401918.4,865.8,1.804545455
Potato,2019,Summer     ,Meghalaya,12577,143122,3844.4,2160225.52,4653.49,8.257272727
Potato,2019,Winter     ,Meghalaya,6366,44226,3844.4,1093424.16,2355.42,6.527272727
Rapeseed &Mustard,2019,Rabi       ,Meghalaya,9879,9242,3844.4,1696817.04,3655.23,0.890909091
Rice,2019,Autumn     ,Meghalaya,33480,78074,3844.4,5750524.8,12387.6,2.510909091
Rice,2019,Rabi       ,Meghalaya,13628,63081,3844.4,2340745.28,5042.36,2.57
Rice,2019,Winter     ,Meghalaya,63889,162321,3844.4,10973574.64,23638.93,2.36
Sesamum,2019,Rabi       ,Meghalaya,2382,2222,3844.4,409132.32,881.34,1.04
Small millets,2019,Rabi       ,Meghalaya,2893,2723,3844.4,496901.68,1070.41,1.1
